POL,CANCSLPFC
106934,0.25
106990,0.6
107051,0.021
107062,0.072
107131,1
95807,4
96128,7
57117314,39000
57117449,13000
57465288,13000
57835924,0.39
65510443,3.9
67562394,1300
69782907,3.9
70362504,39
70648269,13000
108171262,0.089
1016,12
1020,500
1080,130000
1086,130000
1128,0.042
1146,0.91
50000,0.021
50328,3.9
51796,1
56235,0.15
56553,0.39
57976,250
60117,4.6
60355,0.07
62555,6.1
1937377,500
3697243,3.9
5522430,0.39
7439921,0.042
7440020,0.91
7440382,12
7446277,0.042
7496028,39
7758976,510
10294403,510
12054487,0.91
13463393,0.91
16071866,500
18540299,510
90948,0.86
91087,0.039
91203,0.12
91941,1.2
92875,500
111444,2.5
117817,0.0084
118741,1.8
120718,0.15
123911,0.027
127184,0.021
135206,0.22
156105,0.022
189559,39
191300,39
192654,3.9
193395,0.39
205992,0.39
207089,0.39
224420,0.39
226368,0.39
302012,17
319857,4
540885,0.0047
542881,46
602879,0.13
607578,0.039
615054,0.023
621647,7
924163,11
1271289,0.91
67663,0.019
71432,0.1
75014,0.27
75070,0.01
75092,0.0035
75343,0.0057
75569,0.013
86306,0.009
1332214,220
1333820,510
1336363,2
100414,0.0087
100447,0.17
100754,9.4
101144,1.5
101779,1.6
79016,0.007
79061,4.5
79345,0.2
32598133,13
32598144,3.9
32774166,3900
35822469,1300
38380084,3.9
39001020,39
39635319,3.9
40321764,130000
42397648,39
42397659,3.9
51207319,13000
52663726,3.9
1634044,0.0018
1120714,2.4
95692,0.27
96457,0.045
55673897,1300
60851345,13000
74472370,3.9
1151,3.9
9901,1.1
53703,4.1
56495,22
58899,1.1
62533,0.0057
2602462,500
7440417,8.4
12035722,0.91
13765190,510
117793,0.033
205823,0.39
218019,0.039
301042,0.042
584849,0.039
608731,4
930552,2.1
1335326,0.042
1746016,130000
79005,0.057
121142,0.31
87865,0.018
26471625,0.039
106898,0.08
95830,0.016
57653857,13000
72918219,13000
55185,36
59892,6.7
62759,16
3333673,0.91
7440439,15
7758012,0.49
7789062,510
10595956,22
189640,39
194592,3.9
319846,4
1313991,0.91
75218,0.31
88062,0.07
106467,0.04
31508006,3.9
39227286,13000
10588019,510
57117416,3900
3268879,39
19408743,13000
373024,0.91
